page	status	article	images	note	date
02_Foundations/GCSE-Foundations/Electric-Current.md	added	Electric current	_attachments/02_Foundations/Electric-Current--wiki-current-notation.svg,_attachments/02_Foundations/Electric-Current--wiki-electromagnetic-induction-solenoid-to-lo.gif,_attachments/02_Foundations/Electric-Current--wiki-magnetic-field-produced-by-an-electric-c.png		2026-05-20
02_Foundations/GCSE-Foundations/Energy-GCSE.md	added	Energy	_attachments/02_Foundations/Energy-GCSE--wiki-plasma-globe-60th.jpg,_attachments/02_Foundations/Energy-GCSE--wiki-carnot-heat-engine-2.svg,_attachments/02_Foundations/Energy-GCSE--wiki-energy-and-life.svg		2026-05-20
02_Foundations/GCSE-Foundations/Force.md	added	Force	_attachments/02_Foundations/Force--wiki-force-examples.svg,_attachments/02_Foundations/Force--wiki-addition-av-vektorer-003.jpg,_attachments/02_Foundations/Force--wiki-aristoteles-louvre2.jpg		2026-05-20
02_Foundations/GCSE-Foundations/Power.md	added	Power (physics)	_attachments/02_Foundations/Power--wiki-ansel-adams-national-archives-79-aab-02.jpg,_attachments/02_Foundations/Power--wiki-horsepower-plain.svg,_attachments/02_Foundations/Power--wiki-peak-power-average-power-tau-t.png		2026-05-20
02_Foundations/GCSE-Foundations/Resistance.md	added	Electrical resistance and conductance	_attachments/02_Foundations/Resistance--wiki-vfpt-solenoid-correct2.svg,_attachments/02_Foundations/Resistance--wiki-cartridge-heater-hot.jpg,_attachments/02_Foundations/Resistance--wiki-differentialchordalresistance.svg		2026-05-20
02_Foundations/GCSE-Foundations/Voltage.md	added	Voltage	_attachments/02_Foundations/Voltage--wiki-aa-aaa-aaaa-a23-battery-comparison-1.jpg,_attachments/02_Foundations/Voltage--wiki-9vbatterywithmeter.jpg,_attachments/02_Foundations/Voltage--wiki-aa-aaa-aaaa-a23-battery-comparison-1.jpg		2026-05-20
02_Foundations/GCSE-Foundations/Waves-GCSE.md	added	Wave	_attachments/02_Foundations/Waves-GCSE--wiki-2006-01-14-surface-waves.jpg,_attachments/02_Foundations/Waves-GCSE--wiki-2006-01-14-surface-waves.jpg,_attachments/02_Foundations/Waves-GCSE--wiki-amplitudemodulation.gif		2026-05-20
03_Physical-Quantities/Acceleration.md	added	Acceleration	_attachments/03_Physical-Quantities/Acceleration--wiki-gravity-gravita-grave.gif,_attachments/03_Physical-Quantities/Acceleration--wiki-1-d-kinematics.svg,_attachments/03_Physical-Quantities/Acceleration--wiki-acceleration-as-derivative-of-velocity-a.svg		2026-05-20
03_Physical-Quantities/Activity.md	added	Radioactive decay	_attachments/03_Physical-Quantities/Activity--wiki-nuclearreaction.svg,_attachments/03_Physical-Quantities/Activity--wiki-alfa-beta-gamma-radiation.svg,_attachments/03_Physical-Quantities/Activity--wiki-crookes-tube-xray-experiment.jpg		2026-05-20
03_Physical-Quantities/Amplitude.md	added	Amplitude	_attachments/03_Physical-Quantities/Amplitude--wiki-sine-voltage.svg		2026-05-20
